index,AGS
1928,03454020
1929,03454021
1930,03454022
1931,03454023
1932,03454024
1933,03454025
1934,03454026
1935,03454027
1936,03454028
1937,03454029
1938,03454030
1939,03454031
1940,03454032
1941,03454033
1942,03454034
1943,03454035
1944,03454036
1945,03454037
1946,03454038
1947,03454039
1948,03454040
1949,03454041
1950,03454042
1951,03454043
1952,03454044
1953,03454045
1954,03454046
1955,03454047
1956,03454048
1957,03454049
1958,03454050
1959,03454051
1960,03454052
1961,03454053
1962,03454054
1963,03454055
1964,03454056
1965,03454057
1966,03454058
1967,03454059
1968,03454060
1969,03455007
1970,03455014
1971,03455015
1972,03455020
1973,03455021
1974,03455025
1975,03455026
1976,03455027
1977,03456001
1978,03456002
1979,03456003
1980,03456004
1981,03456005
1982,03456006
1983,03456007
1984,03456008
1985,03456009
1986,03456010
1987,03456011
1988,03456012
1989,03456013
1990,03456014
1991,03456015
1992,03456016
1993,03456017
1994,03456018
1995,03456019
1996,03456020
1997,03456023
1998,03456024
1999,03456025
2000,03456026
2001,03456027
2002,03457002
2003,03457003
2004,03457006
2005,03457008
2006,03457009
2007,03457010
2008,03457011
2009,03457012
2010,03457013
2011,03457014
2012,03457015
2013,03457016
2014,03457017
2015,03457018
2016,03457019
2017,03457020
2018,03457021
2019,03457022
2020,03457024
2021,03457501
2022,03458001
2023,03458002
2024,03458003
2025,03458004
2026,03458005
2027,03458006
2028,03458007
2029,03458008
2030,03458009
2031,03458010
2032,03458011
2033,03458012
2034,03458013
2035,03458014
2036,03458015
2037,03459001
2038,03459002
2039,03459003
2040,03459004
2041,03459005
2042,03459006
2043,03459007
2044,03459008
2045,03459009
2046,03459010
2047,03459011
2048,03459012
2049,03459013
2050,03459014
2051,03459015
2052,03459016
2053,03459017
2054,03459018
2055,03459019
2056,03459020
2057,03459021
2058,03459022
2059,03459023
2060,03459024
2061,03459025
2062,03459026
2063,03459027
2064,03459028
2065,03459029
2066,03459030
2067,03459031
2068,03459032
2069,03459033
2070,03459034
2071,03460001
2072,03460002
2073,03460003
2074,03460004
2075,03460005
2076,03460006
2077,03460007
2078,03460008
2079,03460009
2080,03460010
2081,03461001
2082,03461002
2083,03461003
2084,03461004
2085,03461005
2086,03461006
2087,03461007
2088,03461008
2089,03461009
2090,03462001
2091,03462002
2092,03462003
2093,03462004
2094,03462005
2095,03462006
2096,03462007
2097,03462008
2098,03462009
2099,03462010
2100,03462011
2101,03462012
2102,03462013
2103,03462014
2104,03462015
2105,03462016
2106,03462017
2107,03462018
2108,03462019
2109,04011000
2110,04012000
2111,05111000
2112,05112000
2113,05113000
2114,05114000
2115,05116000
2116,05117000
2117,05119000
2118,05120000
2119,05122000
2120,05124000
2121,05154004
2122,05154008
2123,05154012
2124,05154016
